strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
041000060205,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
050400020605,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
070400030610,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
120602040406,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030502080602,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031800030304,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
051201140701,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
110600010208,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
020802011301,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030402050205,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031403050501,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
071401060701,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
120301080202,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
120401020105,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
020502030106,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
020700050405,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031200030203,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
040900050110,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
051100010404,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
102400110109,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030101070401,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
050100060903,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080302060701,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030601050402,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031800010906,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
040802040408,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
060200010905,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
071100030103,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
110300170402,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
110600060605,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
111101050701,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
111401060505,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
102901100202,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030402031203,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
051201110604,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
060300021202,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
070200070802,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080202020506,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
111102021104,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
102400070106,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
050301060205,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
103001040409,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
111401060106,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031402010102,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
051201140801,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
102901060703,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
020700040404,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
020700090701,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300120302,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
070802010103,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080402020303,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
050400011201,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801000502,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
102801031603,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
120402050100,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031101030402,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031501090106,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031800020904,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
050500070604,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
111302090208,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
120200030102,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
